18-TV,#genre# 
惊艳台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
87,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
松视1台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松视2台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松视3台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
松视1,http://iptv.4666888.xyz/iptv.php?id=20143
松视1,http://rhsbjv7k.tvclub.xyz/iptv/98SHVWMDC3BMWH/6225/index.m3u8
松视2,http://iptv.4666888.xyz/iptv.php?id=20144
松视2,http://rhsbjv7k.tvclub.xyz/iptv/98SHVWMDC3BMWH/14176/index.m3u8
松视3,http://iptv.4666888.xyz/iptv.php?id=20145
松视3,http://rhsbjv7k.tvclub.xyz/iptv/98SHVWMDC3BMWH/12189/index.m3u8
彩虹e,http://iptv.4666888.xyz/iptv.php?id=20146
彩虹e,http://rhsbjv7k.tvclub.xyz/iptv/98SHVWMDC3BMWH/12157/index.m3u8
K 頻道,http://iptv.4666888.xyz/iptv.php?id=20147
彩虹电影,http://iptv.4666888.xyz/iptv.php?id=20148
潘朵啦玩美,http://iptv.4666888.xyz/iptv.php?id=20149
潘朵啦玩美,http://rhsbjv7k.tvclub.xyz/iptv/98SHVWMDC3BMWH/12168/index.m3u8
惊艳电影,http://iptv.4666888.xyz/iptv.php?id=20150
Happy,http://iptv.4666888.xyz/iptv.php?id=20151
香蕉,http://iptv.4666888.xyz/iptv.php?id=20152
PIGOO,http://iptv.4666888.xyz/iptv.php?id=20153
极限电影,http://iptv.4666888.xyz/iptv.php?id=20154
免仔TV-IPPA日本AV,http://iptv.4666888.xyz/iptv.php?id=20155
免仔TV-女同,http://iptv.4666888.xyz/iptv.php?id=20156
麻豆AV,http://iptv.4666888.xyz/iptv.php?id=20157
pornbox日本AV,http://iptv.4666888.xyz/iptv.php?id=20158
JStar三级片,http://iptv.4666888.xyz/iptv.php?id=20159
国外AV1,http://iptv.4666888.xyz/iptv.php?id=20160
国外AV2,http://iptv.4666888.xyz/iptv.php?id=20161
国外AV3,http://iptv.4666888.xyz/iptv.php?id=20162
国外AV4,http://iptv.4666888.xyz/iptv.php?id=20163
国外AV5,http://iptv.4666888.xyz/iptv.php?id=20164
国外AV6,http://iptv.4666888.xyz/iptv.php?id=20165
国外AV7,http://iptv.4666888.xyz/iptv.php?id=20166
国外AV8,http://iptv.4666888.xyz/iptv.php?id=20167
18-JP,#genre# 
SONE-200 河北彩花,https://t27.cdn2020.com/video/m3u8/2024/06/25/3c3ee6e2/index.m3u8
SONE-200 河北彩花,https://t27.cdn2020.com/video/m3u8/2024/06/17/1c64167d/index.m3u8
JUR-328 北条麻妃,https://t30.cdn2020.com/video/m3u8/2025/06/04/daa96dbe/index.m3u8
JUR-328 北条麻妃,video://https://8fd.qqorxihk.xyz/videos/index/id/jur-328
TV-0,#genre# 
TV-0,#genre# 
