咪咕央视,#genre# 

CCTV1咪咕,http://go.bkpcp.top/mg/cctv1 
CCTV2咪咕,http://go.bkpcp.top/mg/cctv2 
CCTV3咪咕,http://go.bkpcp.top/mg/cctv3 
CCTV4咪咕,http://go.bkpcp.top/mg/cctv4 
CCTV5咪咕,http://go.bkpcp.top/mg/cctv5 
CCTV5+咪咕,http://go.bkpcp.top/mg/cctv5p 
CCTV6咪咕,http://go.bkpcp.top/mg/cctv6 
CCTV7咪咕,http://go.bkpcp.top/mg/cctv7 
CCTV8咪咕,http://go.bkpcp.top/mg/cctv8 
CCTV9咪咕,http://go.bkpcp.top/mg/cctv9 
CCTV10咪咕,http://go.bkpcp.top/mg/cctv10 
CCTV11咪咕,http://go.bkpcp.top/mg/cctv11 
CCTV12咪咕,http://go.bkpcp.top/mg/cctv12 
CCTV13咪咕,http://go.bkpcp.top/mg/cctv13 
CCTV13,http://cdn3.101.qzz.io/163189/cctv13
CCTV14咪咕,http://go.bkpcp.top/mg/cctv14 
CCTV15咪咕,http://go.bkpcp.top/mg/cctv15 
CCTV16咪咕,http://go.bkpcp.top/mg/cctv16 
CCTV17咪咕,http://go.bkpcp.top/mg/cctv17 
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o 
美洲咪咕,http://go.bkpcp.top/mg/cctv4m 

CCTV1咪咕,http://go.bkpcp.top/mg/cctv1
CCTV2咪咕,http://go.bkpcp.top/mg/cctv2
CCTV3咪咕,http://go.bkpcp.top/mg/cctv3
CCTV4咪咕,http://go.bkpcp.top/mg/cctv4
CCTV5咪咕,http://go.bkpcp.top/mg/cctv5
CCTV5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV6咪咕,http://go.bkpcp.top/mg/cctv6
CCTV7咪咕,http://go.bkpcp.top/mg/cctv7
CCTV8咪咕,http://go.bkpcp.top/mg/cctv8
CCTV9咪咕,http://go.bkpcp.top/mg/cctv9
CCTV10咪咕,http://go.bkpcp.top/mg/cctv10 
CCTV11咪咕,http://go.bkpcp.top/mg/cctv11 
CCTV12咪咕,http://go.bkpcp.top/mg/cctv12 
CCTV13咪咕,http://go.bkpcp.top/mg/cctv13 
CCTV14咪咕,http://go.bkpcp.top/mg/cctv14 
CCTV15咪咕,http://go.bkpcp.top/mg/cctv15 
CCTV16咪咕,http://go.bkpcp.top/mg/cctv16 
CCTV17咪咕,http://go.bkpcp.top/mg/cctv17 
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o 
美洲咪咕,http://go.bkpcp.top/mg/cctv4m 
CCTV1咪咕,http://go.bkpcp.top/mg/cctv1
CCTV2咪咕,http://go.bkpcp.top/mg/cctv2
CCTV3咪咕,http://go.bkpcp.top/mg/cctv3
CCTV4咪咕,http://go.bkpcp.top/mg/cctv4
CCTV5咪咕,http://go.bkpcp.top/mg/cctv5
CCTV5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV6咪咕,http://go.bkpcp.top/mg/cctv6
CCTV7咪咕,http://go.bkpcp.top/mg/cctv7
CCTV8咪咕,http://go.bkpcp.top/mg/cctv8
CCTV9咪咕,http://go.bkpcp.top/mg/cctv9
CCTV10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m

CCTV-01频效,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02频效,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03频效,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04频效,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05频效,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+频效,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06频效,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07频效,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08频效,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09频效,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10频效,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11频效,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12频效,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13频效,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14频效,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15频效,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16频效,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17频效,http://t.061899.xyz/tl/tl.php?id=cctv17
CCTV-01频效,http://k.061899.xyz/m.php?id=cctv1
CCTV-02频效,http://k.061899.xyz/m.php?id=cctv2
CCTV-03频效,http://k.061899.xyz/m.php?id=cctv3
CCTV-04频效,http://k.061899.xyz/m.php?id=cctv4
CCTV-05频效,http://k.061899.xyz/m.php?id=cctv5
CCTV-5+频效,http://k.061899.xyz/m.php?id=cctv5p
CCTV-06频效,http://k.061899.xyz/m.php?id=cctv6
CCTV-07频效,http://k.061899.xyz/m.php?id=cctv7
CCTV-08频效,http://k.061899.xyz/m.php?id=cctv8
CCTV-09频效,http://k.061899.xyz/m.php?id=cctv9
CCTV-10频效,http://k.061899.xyz/m.php?id=cctv10
CCTV-11频效,http://k.061899.xyz/m.php?id=cctv11
CCTV-12频效,http://k.061899.xyz/m.php?id=cctv12
CCTV-13频效,http://k.061899.xyz/m.php?id=cctv13
CCTV-14频效,http://k.061899.xyz/m.php?id=cctv14
CCTV-15频效,http://k.061899.xyz/m.php?id=cctv15
CCTV-16频效,http://k.061899.xyz/m.php?id=cctv16
CCTV-17频效,http://k.061899.xyz/m.php?id=cctv17
CCTV1,https://migu.188766.xyz/?migutoken=84c198e7bbab3991a4b2a8d57f9ee346&id=CCTV1&pp=1
CCTV2,https://migu.188766.xyz/?migutoken=8f944bb76c68ca1d05a0b3d29c4234c6&id=CCTV2&pp=1
CCTV3,https://migu.188766.xyz/?migutoken=d3f5db37e4361ca53853b0d5e129cbd7&id=CCTV3&pp=1
CCTV4,https://migu.188766.xyz/?migutoken=dbe491311a246c002730ab4a636b7bdd&id=CCTV4&pp=1
CCTV4欧洲,https://migu.188766.xyz/?migutoken=4e9f3c6dcf0bf8812e6ccab56ff46457&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV4美洲,https://migu.188766.xyz/?migutoken=5ad9c12258b8aae94e55e03fb7001736&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy
CCTV5,https://migu.188766.xyz/?migutoken=c41b2c92cc4ead49cb33f14e6b59c0b6&id=CCTV5&pp=1
CCTV5+,https://migu.188766.xyz/?migutoken=9110d4f33334226618e832fd79f2e81e&id=CCTV5p&pp=1
CCTV6,https://migu.188766.xyz/?migutoken=85f3fdc0069786697aa63d780cf7e3a5&id=CCTV6&pp=1
CCTV7,https://migu.188766.xyz/?migutoken=f7740bc0fa6c4b23fac6367dbb94ae48&id=CCTV7&pp=1
CCTV8,https://migu.188766.xyz/?migutoken=66b00b617f4bfcaffd1c8397cdf117d1&id=CCTV8&pp=1
CCTV9,https://migu.188766.xyz/?migutoken=3b5097943501fa65719f985d0dc480e7&id=CCTV9&pp=1
CCTV10,https://migu.188766.xyz/?migutoken=9e354b4019d14b1a7f9783f51dc6848b&id=CCTV10&pp=1
CCTV11,https://migu.188766.xyz/?migutoken=48e44f70fa699c1eddb16496cd281082&id=CCTV11&pp=1
CCTV12,https://migu.188766.xyz/?migutoken=72dd0f9f03eb2635e701e7da3c56dccf&id=CCTV12&pp=1
CCTV13,https://migu.188766.xyz/?migutoken=36c1029bf8ade36c4021aaa5175648ed&id=CCTV13&pp=1
CCTV14,https://migu.188766.xyz/?migutoken=3d5818d071ab3bbf1ed088bad5381609&id=CCTV14&pp=1
CCTV15,https://migu.188766.xyz/?migutoken=ea5f0fa89620a93a1264216d175477c6&id=CCTV15&pp=1
CCTV17,https://migu.188766.xyz/?migutoken=2653267cea41d2626ab9324b48505f9b&id=CCTV17&pp=1

咪咕卫视,#genre#
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws 
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws 
安徽卫视,http://myddns.com.cn:9999/udp/233.50.201.113:5140
北京卫视咪咕,http://go.bkpcp.top/mg/bjws 
东方卫视咪咕,http://go.bkpcp.top/mg/dfws 
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws 
广东卫视咪咕,http://go.bkpcp.top/mg/gdws 
广东卫视,http://59.39.205.81:8183/tsfile/live/0125_1.m3u8
深圳卫视咪4k,http://go.bkpcp.top/mg/szws 
山东卫视咪咕,http://go.bkpcp.top/mg/sdws 
河南卫视咪咕,http://go.bkpcp.top/mg/hnws 
江西卫视咪咕,http://go.bkpcp.top/mg/jxws 
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws 
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws 
兵团卫视咪咕,http://go.bkpcp.top/mg/btws 
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws 
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws 
安徽卫视,http://myddns.com.cn:9999/udp/233.50.201.113:5140
山东卫视咪咕,http://go.bkpcp.top/mg/sdws 
北京卫视咪咕,http://go.bkpcp.top/mg/bjws 
东方卫视咪咕,http://go.bkpcp.top/mg/dfws 
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws 
广东卫视咪咕,http://go.bkpcp.top/mg/gdws 
深圳卫视咪4k,http://go.bkpcp.top/mg/szws 
河南卫视咪咕,http://go.bkpcp.top/mg/hnws 
江西卫视咪咕,http://go.bkpcp.top/mg/jxws 
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws 
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws 
兵团卫视咪咕,http://go.bkpcp.top/mg/btws 
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
深圳卫视4K,http://cdn3.101.qzz.io/163189/szws4k
深圳财经生活,http://cdn3.101.qzz.io/163189/szcjsh
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
CHC家庭影院,http://m.061899.xyz/mg/jtyy#http://t.061899.xyz/tl/dq.php?id=jtyy
CHC动作电影,http://m.061899.xyz/mg/dzdy#http://t.061899.xyz/tl/dq.php?id=dzdy
CHC影迷电影,http://m.061899.xyz/mg/ymdy#http://t.061899.xyz/tl/dq.php?id=ymdy

安徽卫视,http://php.cqshushu.ggff.net/jzb.php?id=ahws&公众号【医工学习日志】
